"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","tooltips","firefox","Thu Apr 17 14:09:58 UTC 2025","failed","Thu Apr 17 14:09:58 UTC 2025","","uiComponents.spec.ts","",""
"","9","Radio buttons","chromium","Thu Apr 17 14:09:43 UTC 2025","failed","Thu Apr 17 14:09:43 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","11","Input field","firefox","Thu Apr 17 14:09:54 UTC 2025","failed","Thu Apr 17 14:09:54 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","8","tooltips","chromium","Thu Apr 17 14:09:47 UTC 2025","failed","Thu Apr 17 14:09:47 UTC 2025","","uiComponents.spec.ts","",""
"","8","lists and dropdowns","chromium","Thu Apr 17 14:09:47 UTC 2025","failed","Thu Apr 17 14:09:47 UTC 2025","","uiComponents.spec.ts","",""
"","9","datepicker","chromium","Thu Apr 17 14:09:50 UTC 2025","failed","Thu Apr 17 14:09:50 UTC 2025","","uiComponents.spec.ts","",""
"","13","the first test","chromium","Thu Apr 17 14:09:43 UTC 2025","failed","Thu Apr 17 14:09:43 UTC 2025","","firstTest.spec.ts","",""
"","9","checkboxes","firefox","Thu Apr 17 14:09:54 UTC 2025","failed","Thu Apr 17 14:09:54 UTC 2025","","uiComponents.spec.ts","",""
"","9","datepicker","firefox","Thu Apr 17 14:09:59 UTC 2025","failed","Thu Apr 17 14:09:59 UTC 2025","","uiComponents.spec.ts","",""
"","10","Input field","chromium","Thu Apr 17 14:09:43 UTC 2025","failed","Thu Apr 17 14:09:43 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","5","slider","firefox","Thu Apr 17 14:10:01 UTC 2025","failed","Thu Apr 17 14:10:01 UTC 2025","","uiComponents.spec.ts","",""
"","9","drag and drop","chromium","Thu Apr 17 14:09:50 UTC 2025","failed","Thu Apr 17 14:09:50 UTC 2025","","uiComponents.spec.ts","",""
"","16","dialogs","firefox","Thu Apr 17 14:09:58 UTC 2025","failed","Thu Apr 17 14:09:58 UTC 2025","","uiComponents.spec.ts","",""
"","9","slider","chromium","Thu Apr 17 14:09:51 UTC 2025","failed","Thu Apr 17 14:09:51 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","firefox","Thu Apr 17 14:09:50 UTC 2025","skipped","Thu Apr 17 14:09:50 UTC 2025","","firstTest.spec.ts","",""
"","8","lists and dropdowns","firefox","Thu Apr 17 14:09:54 UTC 2025","failed","Thu Apr 17 14:09:54 UTC 2025","","uiComponents.spec.ts","",""
"","8","dialogs","chromium","Thu Apr 17 14:09:47 UTC 2025","failed","Thu Apr 17 14:09:47 UTC 2025","","uiComponents.spec.ts","",""
"","8","the first test","firefox","Thu Apr 17 14:09:50 UTC 2025","failed","Thu Apr 17 14:09:50 UTC 2025","","firstTest.spec.ts","",""
"","5","drag and drop","firefox","Thu Apr 17 14:10:01 UTC 2025","failed","Thu Apr 17 14:10:01 UTC 2025","","uiComponents.spec.ts","",""
"","14","Radio buttons","firefox","Thu Apr 17 14:09:54 UTC 2025","failed","Thu Apr 17 14:09:54 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","8","checkboxes","chromium","Thu Apr 17 14:09:43 UTC 2025","failed","Thu Apr 17 14:09:43 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Thu Apr 17 14:09:39 UTC 2025","skipped","Thu Apr 17 14:09:39 UTC 2025","","firstTest.spec.ts","",""
"","11","tables","firefox","Thu Apr 17 14:09:58 UTC 2025","failed","Thu Apr 17 14:09:58 UTC 2025","","uiComponents.spec.ts","",""
"","11","tables","chromium","Thu Apr 17 14:09:47 UTC 2025","failed","Thu Apr 17 14:09:47 UTC 2025","","uiComponents.spec.ts","",""
